id,researcher1,researcher2,reason,expiry
1,74,176,,
2,35,48,,
3,155,187,,
4,4,40,,
5,94,180,,
6,82,164,,
8,104,116,,
9,38,167,,
12,24,61,,
14,25,159,,
16,10,97,,
18,46,195,,
19,110,143,,
20,87,175,,
21,132,166,,
22,125,144,,
23,141,173,,
25,3,51,,
27,62,90,,
28,20,134,,
29,45,171,,
31,65,191,,
34,13,26,,
35,83,168,,
39,46,128,,
43,36,87,,
44,110,124,,
46,16,179,,
49,42,76,,
50,18,186,,
51,66,150,,
53,117,132,,
55,74,112,,
61,105,152,,
62,92,111,,
68,99,109,,
69,17,157,,
71,167,189,,
73,111,195,,
74,98,115,,
75,24,146,,
76,17,165,,
78,22,84,,
79,36,59,,
80,123,166,,
81,86,142,,
84,5,96,,
87,2,43,,
90,56,186,,
92,169,196,,
94,8,180,,
95,33,112,,
96,90,133,,
100,39,73,,
104,151,173,,
108,53,199,,
110,56,183,,
111,33,124,,
112,63,90,,
113,121,182,,
114,155,174,,
117,19,81,,
118,23,27,,
125,10,196,,
126,17,184,,
127,63,197,,
129,31,96,,
135,12,93,,
138,73,145,,
140,184,199,,
141,35,181,,
142,17,184,,
143,123,189,,
144,177,181,,
146,21,98,,
147,72,150,,
148,140,197,,
149,127,134,,
150,36,151,,
152,150,183,,
153,10,199,,
154,5,194,,
155,94,143,,
156,126,161,,
159,7,133,,
161,147,198,,
164,172,194,,
165,110,157,,
168,58,77,,
169,42,159,,
170,67,167,,
172,72,188,,
173,84,190,,
174,51,105,,
176,73,161,,
177,141,159,,
178,21,90,,
182,68,174,,
184,158,199,,
185,58,104,,
190,19,96,,
191,84,92,,
193,41,135,,
194,24,78,,
197,51,73,,
198,161,167,,
199,17,82,,
200,136,183,,
203,1,116,,
204,19,195,,
206,43,170,,
207,27,49,,
211,45,66,,
216,72,129,,
222,115,120,,
223,56,124,,
226,101,181,,
227,90,182,,
228,88,194,,
229,168,190,,
230,88,126,,
231,70,153,,
233,124,128,,
239,6,82,,
240,11,120,,
242,14,142,,
244,116,169,,
246,27,48,,
249,71,153,,
252,44,48,,
253,45,171,,
259,89,189,,
260,61,133,,
261,72,184,,
262,4,173,,
264,99,159,,
267,48,145,,
268,4,100,,
273,130,137,,
274,37,184,,
275,68,161,,
276,12,119,,
278,41,43,,
282,48,185,,
285,25,136,,
286,19,195,,
287,82,166,,
288,90,121,,
290,139,195,,
292,160,192,,
293,64,112,,
296,28,122,,
301,5,158,,
303,96,119,,
305,34,188,,
307,36,112,,
310,4,64,,
311,50,112,,
313,77,107,,
314,104,152,,
316,54,168,,
317,152,158,,
318,56,85,,
319,13,61,,
320,13,32,,
322,63,126,,
324,83,194,,
325,54,82,,
326,23,132,,
330,17,117,,
332,97,101,,
334,15,55,,
335,47,148,,
336,89,177,,
338,34,186,,
339,32,119,,
340,27,96,,
347,110,116,,
348,76,197,,
351,4,90,,
352,21,94,,
353,33,78,,
355,17,117,,
356,102,159,,
357,11,186,,
360,158,182,,
362,83,109,,
364,42,200,,
366,21,144,,
368,36,56,,
371,76,160,,
373,103,199,,
375,171,197,,
377,38,48,,
378,73,174,,
379,79,103,,
381,2,91,,
382,39,60,,
383,64,128,,
384,34,65,,
386,47,121,,
387,28,66,,
388,110,121,,
389,123,175,,
392,152,192,,
395,1,169,,
396,182,200,,
401,107,149,,
404,69,126,,
406,123,183,,
407,90,138,,
409,105,159,,
410,57,179,,
412,30,101,,
413,89,181,,
414,79,85,,
416,32,73,,
417,23,185,,
419,32,85,,
423,89,136,,
424,60,198,,
431,3,28,,
435,79,86,,
436,56,122,,
437,176,178,,
438,8,169,,
442,54,87,,
443,9,177,,
444,121,189,,
446,26,192,,
447,20,108,,
450,52,53,,
452,154,187,,
455,29,142,,
456,60,183,,
457,139,183,,
458,30,174,,
463,22,135,,
466,11,179,,
467,63,93,,
468,161,190,,
469,17,126,,
471,23,112,,
473,49,138,,
474,11,59,,
475,32,39,,
476,154,163,,
478,163,189,,
480,111,154,,
482,12,24,,
483,89,196,,
484,137,185,,
486,67,183,,
487,2,144,,
488,107,197,,
489,2,93,,
490,39,62,,
491,51,182,,
493,29,148,,
494,53,199,,
496,8,154,,
498,24,61,,
499,6,124,,
502,40,185,,
505,64,138,,
506,96,183,,
507,6,90,,
508,87,154,,
509,24,45,,
511,46,50,,
513,100,131,,
514,37,43,,
517,154,170,,
518,104,189,,
520,37,73,,
521,2,71,,
523,49,71,,
527,110,152,,
528,63,92,,
532,97,163,,
534,34,106,,
535,37,79,,
539,6,138,,
540,21,132,,
547,6,54,,
551,27,149,,
552,25,123,,
553,110,113,,
554,1,23,,
555,132,189,,
557,101,120,,
560,158,197,,
561,76,157,,
565,18,87,,
567,31,64,,
568,49,129,,
571,9,51,,
572,36,191,,
574,179,196,,
578,111,133,,
582,105,173,,
584,7,173,,
585,155,188,,
586,9,158,,
587,37,135,,
588,74,109,,
591,92,139,,
592,146,163,,
593,39,112,,
594,49,128,,
595,60,154,,
599,80,83,,
603,93,108,,
605,23,171,,
606,96,107,,
608,22,91,,
610,44,66,,
612,124,140,,
613,38,152,,
615,17,62,,
618,48,62,,
619,105,129,,
621,60,119,,
622,151,193,,
623,58,195,,
626,24,168,,
628,118,147,,
629,18,91,,
631,129,171,,
632,47,107,,
635,70,132,,
637,84,170,,
638,1,126,,
639,41,123,,
640,103,187,,
642,6,185,,
645,111,177,,
647,18,150,,
655,137,160,,
659,24,38,,
662,118,142,,
663,7,41,,
665,126,174,,
668,136,192,,
669,117,192,,
670,97,167,,
672,43,173,,
673,124,133,,
674,9,85,,
677,42,160,,
682,163,185,,
683,6,178,,
684,37,87,,
686,75,199,,
687,12,115,,
688,18,138,,
690,138,196,,
691,130,184,,
693,45,61,,
695,106,181,,
700,160,192,,
702,3,157,,
704,52,57,,
705,80,113,,
712,175,178,,
713,18,180,,
720,3,34,,
721,131,200,,
722,136,173,,
723,16,145,,
724,25,81,,
726,126,138,,
729,25,36,,
730,62,98,,
731,5,193,,
734,144,185,,
735,181,184,,
736,30,45,,
738,20,198,,
739,59,161,,
741,53,113,,
742,81,112,,
743,11,12,,
744,93,191,,
746,48,74,,
748,23,93,,
750,24,69,,
751,31,57,,
752,92,144,,
755,150,197,,
757,47,182,,
758,116,181,,
760,122,185,,
761,31,136,,
762,8,89,,
763,48,100,,
765,78,164,,
770,77,80,,
773,78,112,,
774,21,129,,
776,21,77,,
777,49,170,,
779,23,49,,
780,91,114,,
783,19,88,,
784,33,60,,
786,52,152,,
787,38,59,,
788,25,142,,
790,128,172,,
792,57,82,,
793,88,112,,
795,20,72,,
797,109,176,,
799,13,21,,
800,21,84,,
805,17,192,,
810,163,180,,
812,39,105,,
814,64,124,,
818,74,91,,
822,119,125,,
824,42,117,,
825,25,102,,
826,17,75,,
828,34,60,,
829,28,176,,
834,33,113,,
836,46,176,,
837,86,152,,
840,49,110,,
841,139,150,,
842,80,104,,
844,87,142,,
845,116,168,,
851,83,165,,
854,104,166,,
855,88,109,,
858,119,175,,
859,104,199,,
862,63,82,,
869,134,152,,
871,66,171,,
875,28,135,,
876,33,149,,
878,112,169,,
882,19,157,,
883,15,55,,
884,33,101,,
885,106,182,,
889,157,180,,
891,43,159,,
893,9,36,,
896,63,194,,
898,176,197,,
901,164,172,,
907,95,127,,
908,147,179,,
915,1,107,,
916,93,95,,
918,53,98,,
919,129,142,,
920,36,156,,
923,17,54,,
924,67,188,,
927,118,196,,
933,90,96,,
935,17,70,,
936,152,155,,
938,51,82,,
940,17,63,,
942,45,57,,
943,57,68,,
946,28,39,,
948,59,116,,
950,23,130,,
951,70,155,,
953,97,118,,
954,96,102,,
955,53,99,,
957,73,79,,
967,131,177,,
968,82,172,,
969,8,12,,
970,16,55,,
973,42,127,,
974,114,164,,
975,151,169,,
977,35,107,,
979,2,117,,
982,34,143,,
983,77,99,,
986,32,73,,
987,22,177,,
991,26,68,,
994,69,159,,
995,65,133,,
996,10,183,,
998,69,145,,
999,33,142,,
1000,24,67,,
1001,30,73,,
1004,49,82,,
1006,40,133,,
1007,37,192,,
1014,123,129,,
1015,114,121,,
1016,185,194,,
1017,81,89,,
1018,72,173,,
1021,20,76,,
1022,59,186,,
1023,81,141,,
1024,61,181,,
1025,90,92,,
1028,44,109,,
1029,19,130,,
1035,147,165,,
1039,131,143,,
1045,27,185,,
1048,14,198,,
1049,162,190,,
1050,73,170,,
1051,183,199,,
1053,132,189,,
1056,172,196,,
1057,62,105,,
1058,156,190,,
1060,123,148,,
1061,133,178,,
1062,62,142,,
1063,82,114,,
1065,80,171,,
1066,122,195,,
1071,8,53,,
1073,30,56,,
1074,56,119,,
1075,23,199,,
1076,156,160,,
1079,70,100,,
1082,24,165,,
1083,68,78,,
1085,76,97,,
1088,113,147,,
1090,125,196,,
1091,7,163,,
1093,181,193,,
1095,4,61,,
1096,42,104,,
1097,156,183,,
1101,50,157,,
1102,113,155,,
1103,3,76,,
1108,127,200,,
1109,40,106,,
1112,156,174,,
1114,48,127,,
1115,72,171,,
1116,3,117,,
1117,40,141,,
1119,55,116,,
1120,13,41,,
1122,158,161,,
1130,47,194,,
1134,93,105,,
1140,54,97,,
1141,61,181,,
1142,50,60,,
1143,46,147,,
1145,112,135,,
1148,12,198,,
1149,11,111,,
1151,16,106,,
1154,27,34,,
1155,26,129,,
1157,5,88,,
1159,28,154,,
1164,41,58,,
1165,112,120,,
1166,16,119,,
1168,31,126,,
1170,28,196,,
1171,50,151,,
1172,7,17,,
1173,8,26,,
1174,87,132,,
1175,21,82,,
1179,17,156,,
1182,8,88,,
1183,36,84,,
1184,89,193,,
1187,73,180,,
1188,9,105,,
1189,4,155,,
1191,90,124,,
1197,13,43,,
1198,44,196,,
1199,75,192,,
1200,74,194,,
1201,120,142,,
1202,48,176,,
1204,105,140,,
1205,104,177,,
1207,2,5,,
1208,85,141,,
1209,92,100,,
1210,82,129,,
1211,49,167,,
1212,39,138,,
1213,34,44,,
1214,51,112,,
1216,36,141,,
1218,23,130,,
1219,83,180,,
1223,5,47,,
1224,106,153,,
1226,63,180,,
1229,26,79,,
1238,99,162,,
1239,59,117,,
1241,24,81,,
1242,140,190,,
1244,63,92,,
1245,68,197,,
1247,13,82,,
1249,94,135,,
1251,68,170,,
1252,2,190,,
1253,8,82,,
